/usr/bin/python3 /home/eap/pycharm-2019.2/helpers/pydev/pydevd.py --multiproc --qt-support=auto --client 127.0.0.1 --port 45705 --file /opt/ssd.pytorch/train.py --dataset_root ./data/SIXRay --dataset SIXRAY
pydev debugger: process 21244 is connecting

Connected to pydev debugger (build 192.5728.105)
/opt/ssd.pytorch/ssd.py:34: UserWarning: volatile was removed and now has no effect. Use `with torch.no_grad():` instead.
  self.priors = Variable(self.priorbox.forward(), volatile=True)
Loading base network...
Initializing weights...
/opt/ssd.pytorch/train.py:227: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  init.xavier_uniform(param)
Loading the dataset...
Training SSD on: SIXRay
Using the specified args:
Namespace(basenet='vgg16_reducedfc.pth', batch_size=32, cuda=True, dataset='SIXRAY', dataset_root='./data/SIXRay', gamma=0.1, lr=0.0001, momentum=0.9, num_workers=0, resume=None, save_folder='weights/', start_iter=0, visdom=False, weight_decay=0.0005)
/opt/ssd.pytorch/train.py:182: UserWarning: volatile was removed and now has no effect. Use `with torch.no_grad():` instead.
  targets = [Variable(ann.cuda(), volatile=True) for ann in targets]
/usr/local/lib/python3.7/dist-packages/torch/nn/_reduction.py:43: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
timer: 8.3067 sec.
iter 1060 || Loss: 3.4892 || timer: 0.3311 sec.
iter 1070 || Loss: 3.3962 || timer: 0.3326 sec.
iter 1080 || Loss: 3.3308 || timer: 0.3338 sec.
iter 1090 || Loss: 3.8721 || timer: 0.3371 sec.
iter 1100 || Loss: 4.2896 || timer: 0.3330 sec.
iter 1110 || Loss: 3.7881 || timer: 0.3339 sec.
iter 1120 || Loss: 3.9555 || timer: 0.3314 sec.
iter 1130 || Loss: 3.6561 || timer: 0.3343 sec.
iter 1140 || Loss: 3.3992 || timer: 0.3338 sec.
iter 1150 || Loss: 3.3642 || timer: 0.3318 sec.
iter 1160 || Loss: 3.5020 || timer: 0.3324 sec.
iter 1170 || Loss: 3.2267 || timer: 0.3329 sec.
iter 1180 || Loss: 3.3089 || timer: 0.3320 sec.
iter 1190 || Loss: 3.4259 || timer: 0.3347 sec.
iter 1200 || Loss: 3.0570 || timer: 0.3325 sec.
iter 1210 || Loss: 3.4798 || timer: 0.3323 sec.
iter 1220 || Loss: 3.5826 || timer: 0.3320 sec.
iter 1230 || Loss: 3.0676 || timer: 0.3309 sec.
iter 1240 || Loss: 4.0144 || timer: 0.3395 sec.
iter 1250 || Loss: 3.6607 || timer: 0.3328 sec.
iter 1260 || Loss: 3.2170 || timer: 0.3335 sec.
iter 1270 || Loss: 3.0354 || timer: 0.3336 sec.
iter 1280 || Loss: 3.7495 || timer: 0.3340 sec.
iter 1290 || Loss: 3.7404 || timer: 0.3374 sec.
iter 1300 || Loss: 3.9795 || timer: 0.3344 sec.
iter 1310 || Loss: 3.5314 || timer: 0.3371 sec.
iter 1320 || Loss: 3.7153 || timer: 0.3323 sec.
iter 1330 || Loss: 3.3811 || timer: 0.3344 sec.
iter 1340 || Loss: 3.4559 || timer: 0.3305 sec.
iter 1350 || Loss: 3.7817 || timer: 0.3338 sec.
iter 1360 || Loss: 3.4821 || timer: 0.3326 sec.
iter 1370 || Loss: 4.8764 || timer: 0.3345 sec.
iter 1380 || Loss: 3.3234 || timer: 0.3317 sec.
iter 1390 || Loss: 3.5631 || timer: 0.3334 sec.
iter 1400 || Loss: 3.5140 || timer: 0.3323 sec.
iter 1410 || Loss: 3.4114 || timer: 0.3343 sec.
iter 1420 || Loss: 3.3473 || timer: 0.3308 sec.
iter 1430 || Loss: 3.1876 || timer: 0.3343 sec.
iter 1440 || Loss: 3.6521 || timer: 0.3310 sec.
iter 1450 || Loss: 3.4351 || timer: 0.3321 sec.
iter 1460 || Loss: 3.5063 || timer: 0.3330 sec.
iter 1470 || Loss: 3.4741 || timer: 0.3325 sec.
iter 1480 || Loss: 3.3366 || timer: 0.3323 sec.
